metric_id,metric_name,median,mean,iqr,entropy_norm,heterogeneity_level,corpus_value
1.0,dependency_tree_each_sentence,1.0,1.0,0.0,0.0,низкая,1.0
2.0,constituency_tree_each_sentence,0.0,0.0,0.0,0.0,низкая,0.0
3.0,dep_tree_max_depth,12.0,11.847826086956522,2.0,0.9087857258868868,средняя,16.0
4.0,dep_tree_mean_depth,2.7940286562534746,2.7786137372653723,0.23434625713819424,0.9114845028903746,средняя,2.7529816628758432
5.0,const_tree_max_depth,2.0,2.0,0.0,0.0,низкая,2.0
6.0,mean_dependency_distance,2.7091603459865254,2.7924162410790796,0.36035413540341876,0.8571276732524032,средняя,2.7697345666747615
7.0,dependency_distance_p95,8.5,8.832608695652173,1.224999999999966,0.8525463827503268,средняя,9.0
8.0,nonprojective_arc_ratio,0.007132140126724793,0.007587824856773908,0.004364288263040011,0.8591426284198461,средняя,0.007726724788366884
9.0,mean_branching_factor,1.9021562384808064,1.9107237491599034,0.10990405780567403,0.8704108635896911,средняя,1.9099772943601607
10.0,nested_subordinate_clause_ratio,0.15450928381962864,0.15256275991341514,0.05813890960779117,0.8938225114429719,средняя,0.16343335659455688
11.0,predicate_centers_per_sentence,1.5295707732634338,1.5313949219429066,0.2586482545810298,0.9353436688246404,средняя,1.482535736482287
12.0,tree_template_repeat_ratio,0.01056184668989547,0.024165200255071947,0.024124313186813184,0.6591124586644929,высокая,0.04996892479801119
13.0,first_token_pos_mode_share,0.2522408963585434,0.2662898765078232,0.06947999522967391,0.8705256941582558,средняя,0.24599129894344313
14.0,last_token_pos_mode_share,0.8293260894694254,0.8021616135708556,0.0921478230873084,0.8624664585718685,средняя,0.8032318210068365
15.0,first3_pos_pattern_mode_share,0.0643681562592483,0.06912764820617738,0.01854127995885381,0.8208348889235425,средняя,0.04275947793660659
16.0,last3_pos_pattern_mode_share,0.109707496804271,0.11381037921351489,0.03633299988721678,0.8439309475240252,средняя,0.09869484151646986
17.0,relpos_first_finite_verb_mean,0.29102257249682106,0.2937325584796851,0.04157484911526532,0.9320248652292955,средняя,0.29699604101539046
18.0,relpos_first_noun_mean,0.11646339464014926,0.11897621012295694,0.027601410265920723,0.8860977986359267,средняя,0.12447341182734906
