metric_id,metric_name,n_docs,nonmissing_share,mean,median,std,cv,q1,q3,iqr,min,max,p10,p90,mean_median_gap,abs_mean_median_gap,entropy_norm,heterogeneity_level
1.0,dependency_tree_each_sentence,45,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,низкая
2.0,constituency_tree_each_sentence,45,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,низкая
3.0,dep_tree_max_depth,45,1.0,16.77777777777778,16.0,6.091483632047793,0.3630685608505307,13.0,18.0,5.0,8.0,42.0,11.4,20.6,0.7777777777777786,0.7777777777777786,0.8506625624370119,средняя
4.0,dep_tree_mean_depth,45,1.0,3.003889664187673,3.0746005680496826,0.4720789936415681,0.15715590331751753,2.7680270472807473,3.359675308079085,0.5916482607983378,1.602744645921091,3.823387094419461,2.4100448933824086,3.522705549912581,-0.07071090386200973,0.07071090386200973,0.8637174931181817,средняя
5.0,const_tree_max_depth,45,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,низкая
6.0,mean_dependency_distance,45,1.0,3.243056093979198,2.9346578366445915,1.1546262700682515,0.3560303111043437,2.7610371408549406,3.14440734557596,0.38337020472101946,2.533234126984127,9.951041666666667,2.645426073803857,4.0398720455542625,0.30839825733460646,0.30839825733460646,0.7598271562755714,средняя
7.0,dependency_distance_p95,45,1.0,10.88111111111111,9.649999999999977,5.196551087969456,0.4775754088810896,9.0,11.0,2.0,7.0,40.0,8.0,14.600000000000001,1.231111111111133,1.231111111111133,0.8231613405691268,средняя
8.0,nonprojective_arc_ratio,45,1.0,0.010986281060140103,0.008391367087019262,0.010001537774784021,0.9103660938614724,0.006499855622420188,0.011896371999025364,0.0053965163766051755,0.001221001221001221,0.06803678926262359,0.00456962867292853,0.018978615247693502,0.0025949139731208416,0.0025949139731208416,0.847872996786312,средняя
9.0,mean_branching_factor,45,1.0,2.066802400275072,1.9017010749899899,0.5692497123030579,0.2754253199180029,1.8384327453616276,1.9852141356892978,0.14678139032767024,1.6026745950905614,4.826044126752569,1.7306868549640648,2.619237787406544,0.16510132528508192,0.16510132528508192,0.7778701173939877,средняя
10.0,nested_subordinate_clause_ratio,45,1.0,0.11806206290780234,0.1206896551724138,0.03804224195869839,0.32222240592565743,0.0963855421686747,0.13953488372093023,0.04314934155225553,0.03125,0.19491525423728814,0.0718831507563902,0.16863569103284998,-0.002627592264611456,0.002627592264611456,0.9429209595960047,средняя
11.0,predicate_centers_per_sentence,45,1.0,1.6067024013334184,1.595505617977528,0.2952275363830128,0.18374749184292033,1.463302752293578,1.8333333333333333,0.3700305810397553,0.7076923076923077,2.2527472527472527,1.3127477477477478,1.979124579124579,0.01119678335589036,0.01119678335589036,0.851641235331737,средняя
12.0,tree_template_repeat_ratio,45,1.0,0.021491308888223478,0.008264462809917356,0.03246733114531757,1.5107191150702128,0.0,0.023529411764705882,0.023529411764705882,0.0,0.11864406779661017,0.0,0.07232142857142858,0.013226846078306122,0.013226846078306122,0.67788399896097,высокая
13.0,first_token_pos_mode_share,45,1.0,0.28398931116895987,0.2833333333333333,0.06166803335876532,0.21714913531402535,0.23308270676691728,0.32954545454545453,0.09646274777853725,0.18686868686868688,0.46,0.2120300751879699,0.3494285714285714,0.0006559778356265422,0.0006559778356265422,0.8985507546618148,средняя
14.0,last_token_pos_mode_share,45,1.0,0.6882461842198649,0.6900584795321637,0.12651831463983818,0.18382712108058857,0.611764705882353,0.7964601769911505,0.18469547110879747,0.3384615384615385,0.8780487804878049,0.5183448275862069,0.8315315315315316,-0.0018122953122987617,0.0018122953122987617,0.8997104009351448,средняя
15.0,first3_pos_pattern_mode_share,45,1.0,0.08117879687004306,0.07865168539325842,0.03711669430257027,0.45722153731828996,0.056179775280898875,0.09375,0.037570224719101125,0.030303030303030304,0.2619047619047619,0.04278367084538734,0.11262626262626263,0.002527111476784638,0.002527111476784638,0.833609907432788,средняя
16.0,last3_pos_pattern_mode_share,45,1.0,0.13026895778798497,0.125,0.05447576199537337,0.41817914966383346,0.0972972972972973,0.15384615384615385,0.05654885654885655,0.05263157894736842,0.3333333333333333,0.06851961364084368,0.182991452991453,0.005268957787984974,0.005268957787984974,0.823753465690782,средняя
17.0,relpos_first_finite_verb_mean,45,1.0,0.30751804896431717,0.30961060168082255,0.03889058962143411,0.12646603915579205,0.2817682998222778,0.32229543262668336,0.04052713280440556,0.22729399942547734,0.4288430757432941,0.2723594879344446,0.3477258809178445,-0.0020925527165053803,0.0020925527165053803,0.8003364246078172,средняя
18.0,relpos_first_noun_mean,45,1.0,0.12366226796861068,0.11857308649752825,0.04795283871963324,0.38777259634123123,0.09374585437784808,0.1450369262648417,0.05129107188699361,0.05139613001310077,0.2914836039852722,0.07678494091530849,0.16385399840094142,0.005089181471082435,0.005089181471082435,0.8087348264224954,средняя
19.0,relpos_first_pronoun_mean,45,1.0,0.40067350333894236,0.4033513975164468,0.06909731638430859,0.1724529219139729,0.3414089415730639,0.4426594243144938,0.10125048274142989,0.24447446962974914,0.574223602484472,0.3260429362049581,0.4824248020891368,-0.002677894177504414,0.002677894177504414,0.9068687904601851,средняя
20.0,relpos_noun_mean,45,1.0,0.5175445558017517,0.5198499696194429,0.022219244769828457,0.04293204231548261,0.5103526319079114,0.5282112147532821,0.017858582845370785,0.42864958303554784,0.5592468991855968,0.49878264629292607,0.5396332433530118,-0.0023054138176911154,0.0023054138176911154,0.8683717079325005,средняя
21.0,relpos_verb_aux_mean,45,1.0,0.4645882601275298,0.466655691496515,0.02949396594472975,0.0634840965129718,0.4513532282120315,0.48207981322166177,0.03072658500963027,0.3769868015737581,0.5435498508879443,0.4315113278787853,0.49553326439775824,-0.002067431368985184,0.002067431368985184,0.8505104182057308,средняя
22.0,relpos_adj_adv_mean,45,1.0,0.4929869301127891,0.49188765296693077,0.02043460471958908,0.041450601367695294,0.48189638339943663,0.5049681302485759,0.023071746849139263,0.41915261023607486,0.5451157866752591,0.47682955342820604,0.5182657619060776,0.001099277145858335,0.001099277145858335,0.8249015811567252,средняя
23.0,relpos_pron_det_adp_mean,45,1.0,0.45697637719345774,0.46054098033835206,0.02577386468094416,0.05640086876970661,0.44654912144347464,0.4765777410740784,0.03002861963060377,0.36733614574770296,0.5018049451538756,0.4269434775484727,0.483629379795335,-0.0035646031448943183,0.0035646031448943183,0.8006060330679591,средняя
24.0,pos_decile_entropy_mean,45,1.0,0.922634997187424,0.925175973300239,0.03375476329355846,0.036585175498931914,0.9075574281267084,0.944763860305183,0.037206432178474635,0.8043128031433419,0.9697383846206491,0.8827625266257116,0.9619388069907795,-0.0025409761128150077,0.0025409761128150077,0.8593094028293025,средняя
26.0,sentence_start_repeat_index,45,1.0,0.10047423819663638,0.10071942446043165,0.05111413815310843,0.5087287952666418,0.057971014492753624,0.13636363636363635,0.07839262187088272,0.01098901098901099,0.2222222222222222,0.03687363834422658,0.16975569528914547,-0.00024518626379527175,0.00024518626379527175,0.9278636738518022,средняя
27.0,rhetorical_schema_DEC_share,45,1.0,0.00036089185688398175,0.0,0.0013901628520109734,3.852020558219129,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.00036089185688398175,0.00036089185688398175,0.0,средняя
