metric_id,metric_name,median,mean,iqr,entropy_norm,heterogeneity_level,corpus_value
1.0,dependency_tree_each_sentence,1.0,1.0,0.0,0.0,низкая,1.0
2.0,constituency_tree_each_sentence,0.0,0.0,0.0,0.0,низкая,0.0
3.0,dep_tree_max_depth,16.0,16.77777777777778,5.0,0.8506625624370119,средняя,42.0
4.0,dep_tree_mean_depth,3.0746005680496826,3.003889664187673,0.5916482607983378,0.8637174931181817,средняя,2.9358522014972124
5.0,const_tree_max_depth,2.0,2.0,0.0,0.0,низкая,2.0
6.0,mean_dependency_distance,2.9346578366445915,3.243056093979198,0.38337020472101946,0.7598271562755714,средняя,3.283444194769966
7.0,dependency_distance_p95,9.649999999999977,10.88111111111111,2.0,0.8231613405691268,средняя,11.0
8.0,nonprojective_arc_ratio,0.008391367087019262,0.010986281060140103,0.0053965163766051755,0.847872996786312,средняя,0.011174877157699614
9.0,mean_branching_factor,1.9017010749899899,2.066802400275072,0.14678139032767024,0.7778701173939877,средняя,2.072552194494821
10.0,nested_subordinate_clause_ratio,0.1206896551724138,0.11806206290780234,0.04314934155225553,0.9429209595960047,средняя,0.12957656797198344
11.0,predicate_centers_per_sentence,1.595505617977528,1.6067024013334184,0.3700305810397553,0.851641235331737,средняя,1.622110365398956
12.0,tree_template_repeat_ratio,0.008264462809917356,0.021491308888223478,0.023529411764705882,0.67788399896097,высокая,0.029455630126771066
13.0,first_token_pos_mode_share,0.2833333333333333,0.28398931116895987,0.09646274777853725,0.8985507546618148,средняя,0.22371364653243847
14.0,last_token_pos_mode_share,0.6900584795321637,0.6882461842198649,0.18469547110879747,0.8997104009351448,средняя,0.6895973154362416
15.0,first3_pos_pattern_mode_share,0.07865168539325842,0.08117879687004306,0.037570224719101125,0.833609907432788,средняя,0.05089485458612975
16.0,last3_pos_pattern_mode_share,0.125,0.13026895778798497,0.05654885654885655,0.823753465690782,средняя,0.10626398210290827
17.0,relpos_first_finite_verb_mean,0.30961060168082255,0.30751804896431717,0.04052713280440556,0.8003364246078172,средняя,0.3122064493336599
18.0,relpos_first_noun_mean,0.11857308649752825,0.12366226796861068,0.05129107188699361,0.8087348264224954,средняя,0.12688625093698735
