word,mean_z_real,mean_z_generated,z_difference_generated_minus_real,abs_z_difference
часто,-0.6957080822907571,0.6805839935453062,1.3762920758360633,1.3762920758360633
например,-0.6847323415280073,0.6698468558426162,1.3545791973706236,1.3545791973706236
анализ,-0.674242606330094,0.6595851583663965,1.3338277646964904,1.3338277646964904
в,0.5746826516914998,-0.5621895505677715,-1.1368722022592714,1.1368722022592714
через,-0.5312962748631904,0.5197463558444259,1.0510426307076162,1.0510426307076162
где,-0.5231639443261469,0.5117908151016651,1.0349547594278121,1.0349547594278121
эти,-0.5072551518033089,0.49622786589454154,1.0034830176978504,1.0034830176978504
но,-0.4854134952013156,0.47486102791433044,0.960274523115646,0.960274523115646
которых,0.473147537633917,-0.46286172159839706,-0.936009259232314,0.936009259232314
н,0.47276132149950534,-0.46248390146690743,-0.9352452229664128,0.9352452229664128
качестве,0.45756847585496313,-0.4476213350755075,-0.9051898109304706,0.9051898109304706
подход,-0.4543334693987069,0.44445665484656105,0.8987901242452679,0.8987901242452679
роль,-0.45075959587813536,0.4409604742286107,0.891720070106746,0.891720070106746
просто,-0.4281499095321695,0.4188423028032094,0.8469922123353789,0.8469922123353789
исследования,-0.4264245301273294,0.4171544316463005,0.8435789617736299,0.8435789617736299
как,-0.4205967373584691,0.4114533300245898,0.8320500673830589,0.8320500673830589
м,0.4169878367598568,-0.4079228837868164,-0.8249107205466732,0.8249107205466732
особенно,-0.41191466086501416,0.4029599943244705,0.8148746551894847,0.8148746551894847
модели,-0.40976469703573615,0.40085676883930726,0.8106214658750435,0.8106214658750435
эта,-0.40399111244446556,0.3952086969565423,0.7991998094010079,0.7991998094010079
контексте,-0.4030596563613552,0.3942974899187169,0.7973571462800721,0.7973571462800721
и,-0.3969196313936329,0.3882909437546404,0.7852105751482733,0.7852105751482733
модель,-0.39098297631676476,0.382483346396835,0.7734663227135998,0.7734663227135998
это,-0.387511520489613,0.3790873570007086,0.7665988774903216,0.7665988774903216
еще,0.37584021674500134,-0.3676697772505447,-0.7435099939955461,0.7435099939955461
анализа,-0.354371467336221,0.3466677397854333,0.7010392071216542,0.7010392071216542
таким,-0.3492454034815013,0.3416531121014686,0.6908985155829699,0.6908985155829699
имеет,0.3485821511335384,-0.3410042782828092,-0.6895864294163476,0.6895864294163476
здесь,-0.3439350512500003,0.3364582023097831,0.6803932535597834,0.6803932535597834
случае,0.3388922878117632,-0.3315250641636814,-0.6704173519754446,0.6704173519754446
которой,0.33493517326657973,-0.3276539738477409,-0.6625891471143206,0.6625891471143206
всего,0.33096299127236134,-0.3237681436360056,-0.6547311349083669,0.6547311349083669
этот,-0.32294762740196925,0.3159270268062742,0.6388746542082435,0.6388746542082435
так,0.3116419967640241,-0.3048671707474151,-0.6165091675114391,0.6165091675114391
е,0.30055250315569043,-0.29401875308708836,-0.5945712562427787,0.5945712562427787
позволяет,-0.2956582303551385,0.2892308775213316,0.5848891078764701,0.5848891078764701
пример,-0.2944899177653086,0.2880879630312803,0.5825778807965889,0.5825778807965889
они,-0.29107258270952185,0.28474491786801,0.5758175005775319,0.5758175005775319
образ,-0.2884731664520354,0.2822020106595998,0.5706751771116352,0.5706751771116352
