file,1.docx,10.docx,11.docx,12.docx,13.docx,14.docx,15.docx,16.docx,17.docx,18.docx,19.docx,2.docx,21.docx,22.docx,23.docx,24.docx,25.docx,26.docx,27.docx,28.docx,29.docx,3.docx,30.docx,31.docx,32.docx,33.docx,34.docx,35.docx,36.docx,37.docx,38.docx,39.docx,4.docx,40.docx,41.docx,42.docx,43.docx,44.docx,45.docx,46.docx,5.docx,6.docx,7.docx,8.docx,9.docx,1.docx,10.docx,11.docx,12.docx,13.docx,14.docx,15.docx,16.docx,17.docx,18.docx,19.docx,2.docx,20.docx,21.docx,22.docx,23.docx,24.docx,25.docx,26.docx,27.docx,28.docx,29.docx,3.docx,30.docx,31.docx,32.docx,33.docx,34.docx,35.docx,36.docx,37.docx,38.docx,39.docx,4.docx,40.docx,41.docx,42.docx,43.docx,44.docx,45.docx,46.docx,5.docx,6.docx,7.docx,8.docx,9.docx
1.docx,0.0,0.9360539715811501,0.8711346559391592,1.008315858554874,1.0810942314882923,0.8838777187788791,0.8770122546231621,0.7305212006015327,1.1162905172443292,0.9437916589347747,1.028854231935491,0.6938907868679202,0.9340687440042569,0.7527320330363597,0.8049746365638175,0.9729310369158835,0.9587899990913203,0.8855386487060645,0.9869770613224904,0.9407229053690248,0.9502610592711987,0.9442114415864714,0.7417616495951538,1.0072520716546505,0.7038100807086374,0.9871225922828917,0.8091914126068039,1.016197383740784,0.9146923704877866,0.9676683425541702,0.8464159956261006,0.9023842601437189,0.7289263415390482,1.194260948773392,0.9106628426689999,0.9144052362974078,1.0635468533534336,0.8156315351825515,0.8596835399581925,0.8810988576538211,0.9708792603291811,1.022418460516238,0.9510247828793803,0.9221239712690819,0.9701645993887738,0.8222936090429844,0.9909330505893371,0.9995785483283046,0.885651726411452,0.9401534105562497,0.975962328369269,0.8525431737377822,0.7218926426083593,0.9810879807045134,0.8093008478752757,1.1070468936254902,0.8016860192303876,0.931014397152956,1.0510204763052626,0.9374475293471086,0.9962909442956248,0.8809341429489805,0.9705785284487282,0.806115367275791,0.8806891603397209,0.9222718967794503,0.9039139310201441,0.9084122921773781,0.8189982369766983,0.9240902340160695,0.8043787155891223,0.9109071632191572,0.8925983320832921,0.8554340530447219,0.8308978577924571,0.8429504107877659,0.7976233507566997,0.9156707120612693,0.8531012813892396,0.9878092774690252,1.0554760485621615,1.0798392725264052,1.0616798346521117,0.994979935337662,0.954894020978971,0.8758416913726179,1.0120373545783294,0.9569252601694987,0.9682620103254388,0.8957594450806576,1.134260262155373
10.docx,0.9360539715811501,0.0,0.9150786549968933,0.9380638045264518,1.141245146767346,0.7726290529273092,0.895054850250336,0.8481801541344022,1.0951699061010027,1.0981537793671539,1.109496839773293,0.8270437923675051,0.9058530739322356,0.8612742026641979,0.7888439126516557,0.8609124704825999,0.9676218231874162,0.9473690708546283,1.0960245618782773,1.14002777560144,0.9008860989064713,1.0699892172381709,0.948843470495121,0.9122536912377974,0.7408865945301548,0.9117366595875428,0.8704418172203751,0.9542906113397158,0.8965807354344772,1.0214813476630409,1.027447227722607,0.9198887451704849,0.8839365251822947,1.0742257636348647,0.9422605324652318,1.1192365255176797,1.0324963230643514,0.9005977416341776,0.9949040092731561,0.9640903106053758,0.9566084977256955,1.0570155534049859,0.9902308217862819,1.0738054219118864,0.7589859145659346,0.9947285340432839,0.950587886157329,1.0634166178485858,0.9027030227720413,1.1123463510202933,0.982767116567419,0.9818541993960921,0.8860925484141476,0.9291396204386693,0.9520864873239077,1.0877885139993209,0.9577614312531666,1.0052152448776839,1.1325989930589488,0.9814743166592445,0.9291948620366283,0.9643590755090838,0.9263246758349368,0.9939136017334017,0.9532780306943891,1.0135484980220546,0.9241232628498581,0.9909960131838603,0.9561140729813279,0.9499674802330652,0.8617499818667333,0.9153799650209566,0.9444108770748341,0.8670296355261139,0.9512954551047926,0.9301373405466221,0.9572839568892203,1.0169871787783702,0.9835783821261114,1.008964572684404,1.10115888900967,1.0861229274230093,1.2219093961814884,1.0610077078381004,0.9474781299306352,0.9483983522348197,1.0798668526147701,0.9991861333367796,0.9687227855343815,0.9137222337545675,0.9677291072125317
11.docx,0.8711346559391592,0.9150786549968933,0.0,0.8451611488611737,0.9871526694723477,0.7210624170220996,0.7646271346004336,0.7413857981873595,1.0958175228122164,0.8338541205363722,0.9588672866565762,0.7858464557713732,0.8904132347187722,0.7248056397323581,0.7952955542153449,0.9252140574242159,0.9354663249737346,0.804050219426582,0.8807177868091219,0.9024722036718928,0.8068178272394257,0.8580369282218533,0.7382198170480904,0.9080408482992125,0.7328643288782181,0.7340172151447341,0.8377666900322653,0.8091621845621739,0.8661026453604183,0.8990707914601779,0.8248106484339288,0.7835630775561442,0.7691560074214299,0.8660371548573642,0.8264083809267929,0.8723451720577845,0.9205330526392734,0.7075319979700115,0.8618006699412583,0.7330565200510318,0.9137291547946615,0.9866925934543521,0.8106727450743072,0.8473259488995245,0.9581334753651046,0.8427884143924674,0.787661906314491,0.8688641592535596,0.9308731083332533,0.9319029546565312,0.7985385445629066,0.8109587507210019,0.6996102006494057,0.8806601604358345,0.6917219430894005,0.9660965581503109,0.833624419853985,0.8729805998296928,0.9277208571260301,0.809110617422867,0.8873957975763993,0.8588591489430019,0.840070603795987,0.7766801617951978,0.8106540094216789,0.8286307601340891,0.6881536109971224,0.7820165294923794,0.7891623184404023,0.8124892174179388,0.7197353432652557,0.7622484972679203,0.8202232801321291,0.7230403132851521,0.8208007497570925,0.7837345128622496,0.8982628959686734,0.8649664400884217,0.7642643407453983,0.8511280650256852,0.9450950107438522,0.9928185419435119,1.014993383280537,0.8348117773866222,0.8140609483504391,0.7451167198411595,0.8656141604807621,0.8819102467484133,0.8113014399880886,0.7742703741973458,0.9020614016754824
12.docx,1.008315858554874,0.9380638045264518,0.8451611488611737,0.0,1.2486932299332585,0.8118771697727505,0.8117953246998938,0.8143164639927989,1.1157145549376104,1.0048070214148295,1.08285815899982,0.8712440429024043,0.8924161352619424,0.7598340524575555,0.8914033091071724,1.0115376356737484,1.1463524100271294,0.8235294325859787,0.9540740664780967,1.039098741511205,0.9860078225870016,1.0411817600827284,0.9398784194233158,0.9830496217388517,0.8247971159480662,0.9271590087430294,0.9171545561468476,0.985424382167653,0.9790750411564246,0.9553065019694806,0.9541719902410558,0.8596537887315848,0.7777149941002941,0.9918425389109194,0.8374279981054024,1.0496210105060448,0.9036022399672143,0.8468617152629075,0.8853837861295715,0.8897635944476561,0.9165067012914447,1.0281494216401261,0.9023889463873738,1.0852989663017316,1.0968764603907173,0.9679240319572371,0.9604376646493057,1.0381747046017096,0.8224438483442498,1.130817650685771,0.9439325201261274,0.9288332365658906,0.9186846298675116,1.0186700872482732,0.9986416713140532,1.0794368562994467,1.0063976791845297,1.0284439203593743,1.0487697642690947,0.9162650547569516,0.99921775271051,1.1198097782917729,1.0042885437143223,0.9111521777256109,0.9635593471639032,0.9640095742937465,0.9104594130821743,0.920804050136235,0.9837088779615547,1.0706208497558318,0.814263711866849,0.9635134473559712,0.8959230738315226,0.876922046679869,1.0444203105516208,0.9373381036584973,1.0730073082024614,0.9753047633579882,0.9373320623763277,0.9780152148473523,1.019409129443578,1.0883822732631188,1.1022424275602614,0.942047998417483,0.9513441608671717,0.9266801232226847,1.0068329840267092,0.9396450294558938,0.9321064589503368,0.9459429584882231,1.0067046261922525
13.docx,1.0810942314882923,1.141245146767346,0.9871526694723477,1.2486932299332585,0.0,1.1080594947072375,1.1096712610384514,1.0022924635640562,1.295140890414919,1.1961977362724248,1.2167435390204682,0.9862717549607426,1.1670237021674448,1.0814044610223863,1.0468295647179986,1.044961433047184,1.1888193083492447,1.1668109457310292,1.2746707165509925,1.1620739907445807,1.0731022748439107,1.199102128712056,1.0846285721811966,1.1615834358073935,1.0396213354004136,1.0032216315436466,1.062086302121772,1.074614455704464,1.1494702004760275,1.2721805913005502,1.051246181648779,1.05832552504178,1.053366174071043,1.3148942693428536,1.148633960044883,1.147651444715908,1.2319480199769588,0.9864446121639331,1.147686743629219,1.1853155206896404,1.1469848984371014,1.199459503932106,1.1644671855130486,1.107712701624851,1.140187530657662,1.1538725763926743,1.1829158219192564,1.202050945484962,1.182396055883717,1.1324972405442888,1.1908263444733356,1.2106060324204062,1.073154975674872,1.166481979637936,1.0373393813408933,1.3220429115687033,1.1364352957423203,1.2572789289315185,1.332966423107636,1.1497982403949614,1.2251216758856855,1.1150295057767599,1.1826517310899505,1.226730308030017,1.124093992661471,1.2203018176908669,1.1206232488388808,1.1604628193380266,1.1694891675813546,1.1761233009593492,1.1641064458064612,1.0429325893428534,1.1580445094475678,1.0729519080944607,1.1691840616457323,1.161089623057749,1.1643615934770042,1.2315273693533453,1.1557831070277005,1.2706706719291185,1.2879657207689519,1.2579506061327201,1.2123731092752599,1.234794378694715,1.2441560669254146,1.089991590219424,1.2913170835045171,1.182192668349504,1.1966247008854307,1.1057848666253836,1.2535139660166719
14.docx,0.8838777187788791,0.7726290529273092,0.7210624170220996,0.8118771697727505,1.1080594947072375,0.0,0.7965941150205067,0.7035783511796605,1.148988921172627,0.9681814570347004,0.9655274151694647,0.7894725038954951,0.8557024359404312,0.7526434969263092,0.7354031125901005,0.8510039525923623,0.9254242061675888,0.7694332597451045,1.047372043805216,1.051293155041664,0.7972742875919039,0.9482936594670903,0.8744642823838404,0.8359066686926301,0.6776683137561819,0.8387456593592632,0.7888763166903263,0.8085535252960502,0.8346956595209294,0.8964184700137071,0.8888489323806891,0.8672175378322116,0.7005728559098686,0.951872806472677,0.8921410331619506,0.9160167680199857,0.935705236583772,0.7463070344345866,0.8598358367679989,0.8959951063544791,0.7882443143549928,1.0397576595996272,0.8646944373467735,0.9759146785881373,0.7140690068866258,0.8683819032820321,0.936406546413603,0.8980334206555574,0.8977976293450415,0.9883343721973386,0.8061329413934197,0.9080983612972584,0.7351962495823517,0.8488644490097133,0.8530546359452877,0.952671916880239,0.8602232847636722,0.8881325816539826,0.9660172884989778,0.8318624647558985,0.8583436920655371,0.8505104391732584,0.8015713338459578,0.8268444681743543,0.8064288331403263,0.8687140759940511,0.788898382744104,0.8136344160686191,0.9002356242388713,0.8697675465828886,0.7493958979422283,0.8037942664886932,0.8350791523091837,0.7285811876164163,0.8646292923402034,0.8688276557576696,0.9119894810361673,0.924717292541774,0.8032097162103402,0.8207682237663592,0.9529597392461956,0.9511411306459162,1.0482813486702356,0.8791181327159663,0.7656870047068957,0.7762727575264792,0.9769954949296702,0.8546754243939414,0.8566402939851918,0.8172675141644994,0.9078256180135692
15.docx,0.8770122546231621,0.895054850250336,0.7646271346004336,0.8117953246998938,1.1096712610384514,0.7965941150205067,0.0,0.706722546782504,1.1645162069212125,0.8342622393063972,1.0391121808597017,0.8271291344401996,0.733527351342853,0.7578467734479168,0.7548832826030198,1.0059792797186176,1.028433005347485,0.834545814796699,0.9335556171162765,0.9838861410536522,0.8135225549806927,0.8825927944802677,0.8759770637946704,0.9641669257021234,0.7412098339786385,0.8867101870230069,0.9008456292794701,0.9052726398364692,0.8438280068541326,0.807648138690405,0.8829962805425374,0.7608461633918532,0.7468204754086023,1.0517618154876436,0.770907163281213,0.9554040893343726,0.9300973714365094,0.7491567271930133,0.8853042185171478,0.7517188561319168,0.8947892209278838,1.0623287860186446,0.857797902819401,0.9287861825492812,1.0109243458433803,0.8842165470880218,0.8921557537095859,0.8558238358217395,0.8782284411997574,1.037505956222092,0.8400575760582248,0.7144710525419342,0.8230771620687828,0.902148268196946,0.8416081189810743,1.0362200655334377,0.8661577304018796,0.9114680645255442,0.9170066232901836,0.8599706603248634,0.8902226253871396,0.9880092779798423,0.8989803297284044,0.8188887975144076,0.8499626001403516,0.8351488220904126,0.822106399659299,0.7696993693410781,0.8805516835775158,0.9482182631917077,0.7559938891557801,0.8802336790991566,0.846320781816347,0.7276616092748592,0.9017762785494112,0.7731986843237989,0.9181027802408895,0.8184760577286236,0.8032886781077815,0.9222764040243238,0.9781644699970173,1.036962860418231,1.029673971101014,0.8935396848966526,0.8520191049155479,0.8186451648673401,0.9576038272864795,0.9163639713688787,0.8464342830222269,0.7567736097629755,1.031749555141648
16.docx,0.7305212006015327,0.8481801541344022,0.7413857981873595,0.8143164639927989,1.0022924635640562,0.7035783511796605,0.706722546782504,0.0,1.072421103291178,0.8651869200920173,1.0018044611038306,0.7067747956355274,0.807987396714192,0.6314902096683653,0.6927687609246398,0.9364623980041022,0.9152674541571816,0.7174454590839778,0.9131737422307715,0.9146251625802506,0.7286850399708531,0.883436675285244,0.7364118612265648,1.0016443554561711,0.6428320699890031,0.8527546986655841,0.6860027601568506,0.9219592858711277,0.8408732779291593,0.8580624438601369,0.8231892867323427,0.7989268527275601,0.7371735848144421,1.0380406904909834,0.7763133038129463,0.8860374501865299,0.8712485681899842,0.6618181596290914,0.8104859298007419,0.8104085301272562,0.9047476294945078,0.9006863629942763,0.8516605155398532,0.880917307564163,0.9349751518481599,0.8320591822237268,0.9010959417294453,0.9762589973003705,0.8884773474171099,0.9225780201152942,0.8999684247901459,0.7850009938268999,0.7001080610445659,0.94710298056946,0.860408329896201,1.0539407198212716,0.7424349296576328,0.8176100997591401,0.9949812448313984,0.745827098305027,0.9478045539670705,0.8860033531577239,0.9383769881221695,0.7434034510566632,0.8187993999030607,0.8083638983322987,0.8241382697894604,0.8249056398633614,0.754487054901594,0.9417308991468125,0.7507230261299217,0.8360992050815415,0.7877997868133931,0.7799723261367362,0.7855351949917719,0.8252445844344299,0.8144091617887826,0.8467009644758612,0.7787968795389888,0.9623956790203887,0.9614121940658671,1.0873701434231922,1.017159028085354,0.8413587439624757,0.8790990758582058,0.8134910870463951,0.8855750222573481,0.8933762539192054,0.8366913361934993,0.8256648286024543,1.0445783417623609
17.docx,1.1162905172443292,1.0951699061010027,1.0958175228122164,1.1157145549376104,1.295140890414919,1.148988921172627,1.1645162069212125,1.072421103291178,0.0,1.185630781587113,1.2082902133401547,1.0195001417689102,1.0948974182102977,1.0910363217102257,1.0418414718006783,1.1461634424419482,1.2471088174474307,1.080229427416304,1.058296675006693,1.1903052447112403,1.1236223785037014,1.1152488106469773,0.992134912730674,1.2095709172266451,1.0789667753685976,1.101857534300843,1.1196697343701931,1.2560390199022562,1.1972176164716464,1.2379018026151585,1.0744799370607598,1.17237163423525,1.1172079851433911,1.2983385913546226,1.1368939197507537,1.0919344362894767,1.200734316251638,1.0516660152548736,1.0975617620064455,1.0692910583069863,1.2542870372373143,1.2669004686008007,1.1652879328074357,1.056058566482006,1.1743166703967223,1.1382826085701676,1.1746012449372203,1.2263580094224829,1.167903549751722,1.1530272736011673,1.171201638233366,1.15460413602686,1.1972175315121634,1.1232775563447768,1.1244980406704028,1.3666482474067994,1.163028299799927,1.2923191246142287,1.4009404320936236,1.2365956079050964,1.2797639621971306,1.1346539778163576,1.228941507547694,1.142435597268146,1.2255616977559247,1.1571303777304716,1.1021844293539116,1.1342696955231586,1.0947003746908635,1.1509779975093128,1.0963926287547061,1.0692646373313017,1.1840024380999359,1.092741846243725,1.2112452870172026,1.1222503876002343,1.147227792395931,1.2412855327053203,1.1818281777629127,1.2386139927737367,1.2815645810877874,1.1941763004925208,1.4643736921779773,1.2716417923109107,1.1888705931440429,1.1972851038884622,1.309232362093421,1.0487464967859883,1.1214936225089642,1.106327162622759,1.2515226246770228
18.docx,0.9437916589347747,1.0981537793671539,0.8338541205363722,1.0048070214148295,1.1961977362724248,0.9681814570347004,0.8342622393063972,0.8651869200920173,1.185630781587113,0.0,1.0793074121037658,0.8296346537961768,0.9035999960353004,0.9196765811481089,0.8316870789705852,1.1116328887195748,1.0428330035126674,0.8799103892972839,0.829550073121123,0.8255650215304172,0.9317964665781411,0.9762791774405329,0.7430660599588151,1.1311152011718972,0.8553675440845495,0.9562883414910308,0.9766130438625369,0.9836950283203538,1.0193633871613874,0.861489978866511,0.9197152229228768,0.9519754531077927,0.9252993779448699,1.0753657528157599,0.8621816117405865,0.9323045832069901,1.0273878511820802,0.8058711257838602,0.9008145271329802,0.6860058019556925,1.137542506853252,0.9974975231484083,0.9074765423062842,0.8027738882290261,1.1600188136425211,0.8699469690418854,0.8589131999385927,0.9562293149284907,1.0311646056624284,1.1495454408397034,0.9722635984383396,0.8855861491532899,0.889943496636175,1.0881537776117691,0.8465715414990224,1.1910155189367273,0.9231100305407466,1.0403467991530295,1.1457960628313586,0.8852880425583568,1.0866150795016922,1.045968529913428,1.030482613331198,0.8000984110773834,0.9434162864689783,0.9294644320098374,0.8398822741255212,0.974218324639603,0.8218739746524318,0.9516694930050378,0.8279748977500067,0.9658949006125757,0.9689168633167052,0.8478743966636385,1.0020235639973998,0.8396850742484235,0.9641695807037288,1.0193934413795436,0.8475599218117291,1.0651220774978214,1.1240807013037837,1.1776399206996417,1.1868065673148789,1.015732584796652,0.9594747513255109,0.8792522140808895,1.081683085713159,0.9086747708246796,0.9104498687723444,0.9093697165545079,1.1706324213468307
